iter	MultiClass
0	0.9980318585
1	0.893023774
2	0.8162464263
3	0.7598665106
4	0.7038791263
5	0.6462894228
6	0.6019645593
7	0.5496938774
8	0.512042239
9	0.4796436309
10	0.4533298244
11	0.4232917715
12	0.3967262853
13	0.3769459975
14	0.3542384649
15	0.3329195958
16	0.3118613756
17	0.2951569319
18	0.2805214335
19	0.2671079111
20	0.2511014234
21	0.2396247288
22	0.2302472527
23	0.2213428379
24	0.2128398554
25	0.2047315212
26	0.1960278946
27	0.1891005114
28	0.1815378307
29	0.1756200529
30	0.1676732991
31	0.1622776773
32	0.1550081734
33	0.1496859981
34	0.1452932543
35	0.1397679026
36	0.1347717168
37	0.1283854905
38	0.1250082051
39	0.1223082707
40	0.1189037241
41	0.1164824865
42	0.1142750797
43	0.1107167597
44	0.1070390306
45	0.1034196009
46	0.101480989
47	0.09856133367
48	0.09577424363
49	0.09367462962
50	0.09163159295
51	0.09029567655
52	0.08893683621
53	0.08723530134
54	0.08498230441
55	0.08348534567
56	0.08196288538
57	0.08007655557
58	0.07906183141
59	0.0764277746
60	0.07459942245
61	0.07316420268
62	0.07216413353
63	0.07035992259
64	0.07018561798
65	0.06781153677
66	0.06760903105
67	0.06580358111
68	0.06531870455
69	0.06396774588
70	0.06289394605
71	0.06213673471
72	0.06159101442
73	0.06002755749
74	0.05936126432
75	0.05868527455
76	0.0571109535
77	0.0561933286
78	0.05522278823
79	0.05370203382
80	0.05268711242
81	0.0520637331
82	0.05130626271
83	0.05057955736
84	0.0501013088
85	0.04998107252
86	0.04980987675
87	0.04973094699
88	0.0492836233
89	0.04849763065
90	0.04760176782
91	0.04619084821
92	0.04607779286
93	0.04484841781
94	0.04371019212
95	0.0428570435
96	0.04191422259
97	0.04136397794
98	0.04102532147
99	0.04040178524
