iter	Passed	Remaining
0	142	14134
1	143	7023
2	143	4651
3	144	3464
4	144	2753
5	145	2278
6	146	1941
7	146	1687
8	147	1488
9	147	1329
10	148	1199
11	148	1091
12	149	999
13	149	921
14	150	852
15	151	793
16	151	740
17	152	693
18	152	650
19	153	613
20	153	578
21	154	547
22	154	518
23	155	492
24	156	468
25	156	445
26	157	424
27	157	405
28	158	387
29	158	370
30	159	354
31	159	339
32	160	325
33	160	312
34	161	299
35	161	287
36	162	276
37	162	265
38	163	255
39	163	245
40	164	236
41	164	227
42	165	219
43	166	211
44	166	203
45	167	196
46	167	189
47	168	182
48	168	175
49	169	169
50	169	163
51	170	157
52	170	151
53	171	145
54	171	140
55	172	135
56	172	130
57	173	125
58	174	120
59	174	116
60	175	111
61	175	107
62	176	103
63	176	99
64	177	95
65	177	91
66	178	87
67	178	84
68	179	80
69	179	77
70	180	73
71	181	70
72	181	67
73	182	63
74	182	60
75	183	57
76	183	54
77	184	51
78	184	49
79	185	46
80	185	43
81	186	40
82	187	38
83	187	35
84	188	33
85	188	30
86	189	28
87	189	25
88	190	23
89	190	21
90	191	18
91	191	16
92	192	14
93	192	12
94	193	10
95	194	8
96	194	6
97	195	3
98	195	1
99	196	0
