feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
0.964799366,-0.066448975,0.986768045,-0.358079446,0.997265568,1.181890043,-1.615678846,-1.210160503,-0.628076766,1.227273822,1,0,0.964799366,-0.066448975,0.933565583,-0.342877273,C,X,,0
-0.916510531,-0.566394591,-1.008614094,0.831616786,-1.176962113,1.820543908,1.75237485,-0.98453405,0.363896424,0.209470084,1,0,-0.916510531,-0.566394591,-0.967624098,0.761779828,A,Y,,1
-0.109483725,-0.432773884,-0.457649302,0.793818467,-0.268645753,-1.836359784,1.239085936,-0.246383403,-1.058145208,-0.297376079,1,0,-0.109483725,-0.432773884,-0.438158071,0.718471488,C,Y,,1
1.750411632,2.023606219,1.688159349,0.006799845,-1.607661027,0.184740579,-2.619426761,-0.357445423,-1.473127193,-0.190039035,1,0,1.750411632,2.023606219,1.613871271,-5.28E-05,C,Y,,0
-0.22472606,-0.711303227,-0.220777582,0.117124216,1.536061182,0.597537706,0.348644623,-0.93915557,0.175914773,0.236223646,1,0,-0.22472606,-0.711303227,-0.20813734,0.097084567,C,X,,1
1.357913406,-1.245717376,1.261045868,0.054934111,0.975816719,0.918454444,-1.883713879,-1.258504911,-1.301511803,-0.709579855,1,0,1.357913406,-1.245717376,1.214038828,0.047558068,C,X,,0
0.913085305,0.88688739,0.789184565,-0.420761794,-1.252393444,0.363631883,-1.087164065,0.198948147,-1.06716399,-2.604213857,1,0,0.913085305,0.88688739,0.735464439,-0.388350906,C,X,,0
0.754375452,-0.468496113,0.145823625,-0.758765258,-1.911316892,0.092979247,0.647783298,-0.653679141,-2.535541041,1.350852331,1,0,0.754375452,-0.468496113,0.14131426,-0.692620526,C,X,,1
-0.928610497,-0.257052409,-0.80106345,0.277552513,-0.6281494,1.286382137,1.100946855,-0.996931626,1.090339403,-0.933106077,1,0,-0.928610497,-0.257052409,-0.763705694,0.255386088,A,Y,,1
0.610354379,-1.817979225,0.498001364,0.759712295,-1.951101864,0.143587937,-0.636524537,0.419609972,-0.809836256,-0.094458714,1,0,0.610354379,-1.817979225,0.469060808,0.686181263,A,X,,0
0.161613253,-0.168300423,0.630933497,0.599103332,-0.380763404,-1.269465266,-1.692784618,0.809112791,1.416180394,-1.207759393,1,0,0.161613253,-0.168300423,0.604629329,0.534129721,A,Y,,0
1.011336189,0.659451241,1.23223404,-0.803948415,0.756488354,-1.914060071,-2.297937027,-0.247752418,-0.011871574,0.307345617,1,0,1.011336189,0.659451241,1.177793605,-0.726549539,C,X,,1
0.659396631,0.216775564,0.543955203,-1.097302528,1.476934426,-1.167779551,-0.705808884,-0.837262431,-0.855501774,-0.588866827,1,0,0.659396631,0.216775564,0.510254077,-1.016848972,B,X,,0
0.306951458,0.385970093,0.255973598,-1.176644944,-1.151997548,0.10908297,-0.336987648,-1.770481138,-0.389219591,0.928090611,1,0,0.306951458,0.385970093,0.244298947,-1.063158179,A,Y,,1
-1.159334266,0.342926377,-0.988308329,1.243469128,0.558723837,-0.156477376,1.338485853,-0.651888583,1.399762809,-0.779375325,1,0,-1.159334266,0.342926377,-0.945076626,1.111737677,A,X,,1
-0.01957167,0.330851305,-0.103285154,1.451001438,-0.049029341,-0.160360081,0.287089035,-1.077376077,-0.259320502,0.879417041,1,0,-0.01957167,0.330851305,-0.097623987,1.314599736,A,X,,1
2.772193608,-0.477645583,2.802919256,-1.255135372,-0.387699916,-0.413615666,-4.543441462,-0.560607637,-1.91052957,-0.127654682,1,0,2.772193608,-0.477645583,2.656045346,-1.110060856,A,Y,,0
-0.15989809,0.388375729,-0.436326771,-0.094824231,-1.518910825,-2.630730137,1.100908771,0.243530204,-0.787188764,-0.514782675,1,0,-0.15989809,0.388375729,-0.427026273,-0.095259031,B,Y,,1
-1.261565031,0.202383371,-1.124517837,-1.556951087,-0.326535853,-1.170924894,1.60635142,-1.422876908,1.362900956,0.039713822,1,0,-1.261565031,0.202383371,-1.068950004,-1.402241473,B,Y,,1
-0.765188728,0.945311771,-0.672754498,-0.552569346,-0.442589293,0.007727893,0.945881764,2.044481557,0.857070668,-1.873005831,1,0,-0.765188728,0.945311771,-0.640871384,-0.492421856,B,X,,1
0.649619046,0.441307152,0.551392408,-0.733156197,-0.172801737,0.771920155,-0.74269188,-1.857901451,-0.792163227,0.228996392,1,0,0.649619046,0.441307152,0.52613514,-0.651314201,C,X,,0
-0.010097094,0.983852344,0.480457475,0.125886531,-0.06327396,-0.659748641,-1.482028452,-1.304589444,1.610116292,-0.476551423,1,0,-0.010097094,0.983852344,0.449008626,0.105496208,C,X,,0
-1.215927136,0.658143036,-1.036812767,-0.395283548,-0.062893867,-0.447877645,1.404618682,1.465210503,1.467242052,1.592964096,1,0,-1.215927136,0.658143036,-0.968603644,-0.35890414,C,Y,,1
-1.930123593,0.904962041,-1.666487404,-0.225806749,-1.717672148,0.23614241,2.292819443,-0.703916325,2.261471207,1.43642952,1,0,-1.930123593,0.904962041,-1.593885913,-0.193000393,C,Y,,1
0.078300848,-0.095111648,0.292715909,-0.333037619,1.221294946,0.133958381,-0.780538547,-1.547801556,0.643761048,-0.310390991,1,0,0.078300848,-0.095111648,0.296513259,-0.300856776,C,Y,,0
0.073835187,-0.274802305,0.337337015,-2.201243473,-0.3294893,1.674859673,-0.923289932,0.034029586,0.80738189,-1.998888907,1,0,0.073835187,-0.274802305,0.308148912,-1.983175188,C,X,,0
0.124982208,-1.178923491,0.344500864,-0.219669452,-0.020560557,0.289183673,-0.871053222,-1.555373734,0.626573898,0.609526045,1,0,0.124982208,-1.178923491,0.323111091,-0.199741892,C,Y,,0
